_id,rate,comment
5f786402709d68d2d4b7c546,width: 80%;,false
5f786402709d68d2d4b7c547,width: 80%;,false
5f786407fd3d9e40c7b6bc23,width: 60%;,"Giá tốt, chức năng cường lực tốt (rơi đt ko bị mẻ viền), nhưng chống nhìn trộm ở mức độ trung bình (người bên cạnh vẫn nhìn thấy màn hình đang hiển thị gì nhưng không rõ chữ), chống nhìn teoojm loại tốt thì người bên cạnh sẽ không nhìn thấy gì luôn.
Tóm lại mức giá đúng chức năng. Ok"
5f786407fd3d9e40c7b6bc24,width: 60%;,"Mới dán hôm qua. Màn hình vừa khít, chống trộm tạm ổn ko bị tổi quá. nhưng nếu xoay bàn phím ngang thì đứng 2 bên vẫn tia được, xoay dọc thì ok. 

Chất lượng kính ko tốt. Hôm qua rớt nhẹ từ giường xuống thảm dưới đất mà mẻ ngay 1 góc rồi :)"
5f786407fd3d9e40c7b6bc25,width: 60%;,Độ chống nhìn trộm ko cao. Chỉ có 2 miếng lau đáng lẽ 1 miếng có cồn và 1 miếng khô nh mình mở ra 2 miếng đều khô. Và cũng ko có miếng keo lấy bụi khi dán.
5f786407fd3d9e40c7b6bc26,width: 80%;,"Miếng dán không tràn viền, hạn chế góc nhìn người khác tuy nhiên màn hình bị tối đi hơn bình thường phải tăng độ sáng lên giống như đeo kính mát nhẹ"
5f786407fd3d9e40c7b6bc27,width: 60%;,"Màn hình chống nhìn trộm mức độ thấp, người ngồi cạnh vẫn nhìn thấy màn hình sáng và đọc được khi để góc nghiêng 45 độ."
5f786409fd3d9e40c7b6bc28,width: 80%;,Sản phẩm cũng ổn nhưng bao bì hơi cũ nát so với giá  mua thì chấp nhận được.
5f786409fd3d9e40c7b6bc29,width: 60%;,Mình lấy hàng không kiểm tra kỹ lúc xem lại thấy bị nứt nhẹ 1 vết ngay camera . Hàng giao nhanh oke
5f786409fd3d9e40c7b6bc2a,width: 60%;,Dùng cũng được nhưng nếu bấm màn hình nhẹ thì ko Sài được; Face ID cảm thấy chậm hơn.
5f786409fd3d9e40c7b6bc2b,width: 80%;,"Giao hàng nhanh chóng, nhưng giao thành nhiều lần khác nhau nên mất thời gian tiếp nhận"
5f78640cfd3d9e40c7b6bc2c,width: 60%;,"Hàng tốt quá nên mới rớt xuống với độ cao khoảng 0,6m đã nứt."
5f78640cfd3d9e40c7b6bc2d,width: 80%;,sản phẩm ok nhưng cảm ứng giảm độ nhạy đi
5f78640cfd3d9e40c7b6bc2e,width: 60%;,"Không được bảo mật cho lắm, nhìn góc 45 độ vẫn thấy"
