rate,comment
width: 40%;,Máy mình in ảnh tấm thì tối thui tấm thì trắng nguyên tấm như vầy :((
width: 20%;,Mua hàng về hơn 1 tháng mà không sử dụng được dù đã thử nhiều cách.Thời gian đổi trả hàng từ tiki rất lâu mà vẫn chưa giải quyết được vấn đề về sản phẩm. Đùn đẩy trách nhiệm cho nhau mà không thể đưa ra cách xử lý tốt nhất cho khách hàng. Thêm khâu đóng gói không tốt. Trải nghiệm lần mua hàng này tại Tiki RẤT TỆ.
width: 20%;,"Mình là tín đồ mua hàng của các cty thương mại điện tử như tiki.Xác định mua đồ trên mạng là hên xui không như mua trực tiếp. Mua về lắp xong thiết bị chạy cà rựt, giữ liệu truyền tải 20k/s. Sau đó mất kết nối. Reset lại thì tình trạng lại như vậy. Mình có gọi lên hotline tiki thì 1 bạn nữ nghe rồi nói không giải quyết ngay được, bên kỹ thuât sẽ gọi lại hỗ trợ. Ngày sau kỹ thuật gọi thì sau một hồi không giải quyết đc vấn đề gì ngoài việc kêu đem về ktra, rồi bảo hành...Tóm lại đến giờ là gần một tháng không có ai hồi âm. mình phải lên đây phản hồi như thế này. Kinh doanh thời đại số mà như kiểu bao cấp xin cho kiểu này nói thật tiki đã mất nhiều hình ảnh tốt trong mắt mình. Mình cũng sẽ nói với gia đình và bạn bè đừng mua hàng trên tiki nữa. Còn bây giờ tiki hãy hoàn trả lại tiền cho mình và cho mình câu trả lời thỏa đáng."
width: 20%;,"Hàng mình mua về khui hộp set up theo hướng dẫn trên mạng 2 ngày rồi mà bấm vào xem được ko quá 3p là đơ...xong reset đi reset lại vài chục lần vẫn y chang như vậy...mua thêm bực vào người, lúc trước mua cái kích sóng wifi của xiaomi cũng xài đc nửa tháng rồi hư reset trăm lần...😤"
width: 20%;,"Chính thức chia tay Tiki từ đây . 
Đã mua hàng ở Tiki rất nhiều , chưa có đổi trả lần nào mặc dù vẫn có một ít lỗi nhỏ chấp nhận bỏ qua đc . 
Đến lần này là Camera thì ko thể cho qua được . Sản phẩm quay có tình trạng Lag mặc dù mạng rất mạnh + thêm việc từ ban ngày qua ban đêm camera ko quay được mặc dù đã reset lại . Liên hệ với bên Tiki đã nhận lại đơn hàng 10 ngày chưa có 1 phản hồi gì cho khách hàng . Mặc dù mình mua tiki now là biết rất cần dùng . Bây giờ tiền cũng ko lấy lại đc . Mua thêm cái khác thì dư ra . 
Thôi chia tay Tiki . Cố gắng giữ khách hàng sau này"
width: 20%;,"Cam đẹp, trông xịn xò. Tuy nhiên khi làm theo hướng dẫn về cách kết nối Cam với app Mi Home để kích hoạt thì không thể kích hoạt được.
Dù đã tìm hiểu thông tin cũng như hỏi các nguồn uy tín cũng không biết là do app hay lỗi kỹ thuật phần nào. Đã khiếu nại số hotline, mua 20/4 và hnay 22/4 vẫn đang đợi Tiki qua thu hàng về."
width: 40%;,"Tôi mới mua sản phẩm vào tối qua (Ngày 19/02/2020), và đã sử dụng dịch vụ Tiki Now, nhưng khi về sử dụng thì không sử dụng được. App luôn báo try your connection, mặc dù tôi đang sử dụng wifi bình thường.
Tôi đã call và báo đổi trả sản phẩm để báo đổi hàng nhưng đến trưa nay thì vẫn chưa thấy Tiki liên lạc lại."
width: 40%;,"1. Ứng dụng mi home chán. Sử dụng 2 camera thì khi mở lên chỉ xem được một cái. Cái còn lại dừng ở màn hình bufering chừng hơn 1 phút mới xem dc. Muốn xem liền thì phải tắt ứng dụng mi home đi và mở lại. Hỏi nhân viên kĩ thuật nói lỗi ứng dụng k khắc phục được và chỉ nên sử dụng 1 camera trên ứng dụng mi home. Vậy chắc phải bán 1 cái đi. 
2. Không biết cách bật theo dõi chuyển động,  đã bật monitoring nhưng k biết làm sao để bật theo dõi chuyển động. Hỏi nhân viên kĩ thuật cũng k hướng dẫn cụ thể, chỉ nói chung chung là tìm mục dertec motion gì đó nên k biết. Tìm hướng dẫn trên mạng cũng k có."
width: 20%;,"Sản phẩm quá tệ!!!!
- Đt kết nối cùng wifi với camera thì xem mượt.
- Đt mà kết nối wifi khác hoặc bật 4G là phải thông qua server Trung Quốc nên hình ảnh truyền rất chậm và đứng hình!!!!!
Các bạn nên cân nhắc khi mua sản phẩm này để tránh bị phí tiền!!!!"
width: 20%;,"Camera hoàn toàn không setup được do phần mềm không tương thích với hệ điều hành ios.
Đã tra cứu trên internet và rất nhiều người sử dụng hệ điều hành ios phải download lại phiên bản cũ của phần mềm mi để sử dụng.
Lời khuyên: bạn nào cũng dùng nhiều hệ ios như mình thì nên cân nhắc kỹ lại trước khi mua sản phẩm."
